occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.0679,0.0679,0.0,0.0,0.267,0.817,0.333,0.517,0.517,0.0,0.273,0.0468,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.468,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0468,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0936,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.202,0,0
1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.344,0.526,0.526,0.0,0.0,0.479,0,0
1.0,0.447,0.447,0.25,0.0,0.483,0.483,0.657,0.792,0.792,0.0,0.576,0.429,0,0
1.0,0.476,0.476,0.233,0.167,0.0,0.6,0.475,0.811,0.811,0.261,0.174,0.464,0,0
0.5,0.269,0.269,0.0167,0.1,0.0,0.0,0.29,0.64,0.64,0.642,0.0,0.178,0,0
0.5,0.262,0.262,0.233,0.0,0.0,0.0,0.297,0.64,0.64,0.675,0.0,0.186,0,0
0.5,0.253,0.253,0.0167,0.0,0.0,0.0,0.304,0.649,0.649,0.0,0.0,0.375,0,0
0.5,0.247,0.247,0.0,0.0,0.0,0.0,0.297,0.659,0.659,0.0,0.0,0.281,0,0
0.5,0.245,0.245,0.0,0.0,0.0,0.0,0.325,0.659,0.659,0.0,0.0,0.0936,0,0
0.5,0.147,0.147,0.0,0.0,0.0,0.0,0.302,0.559,0.559,0.0,0.0,0.0936,0,0
0.5,0.15,0.15,0.0,0.0,0.0,0.0,0.305,0.568,0.568,0.0,0.0,0.0468,0,0
0.5,0.162,0.162,0.0,0.0,0.0,0.0,0.33,0.578,0.578,0.0,0.0,0.0468,0,0
0.25,0.193,0.193,0.25,0.0,0.0,0.0,0.379,0.597,0.597,0.0,0.0,0.0936,0,0
0.25,0.243,0.243,0.0,0.0,0.0,0.0,0.414,0.602,0.602,0.0,0.0,0.328,0,0
0.5,0.52,0.52,0.0,0.0,0.0,0.0,0.597,0.706,0.706,0.0,0.0,0.222,0,0
0.75,0.743,0.743,0.0,0.0,0.467,0.0,0.809,0.782,0.782,0.0,0.533,0.691,0,0
0.75,0.606,0.606,0.0,0.0,0.25,0.533,0.788,0.754,0.754,0.0,0.499,0.14,0,0
0.75,0.266,0.266,0.0,0.0,0.0,0.0,0.541,0.612,0.612,0.0,0.559,0.14,0,0
1.0,0.149,0.149,0.0,0.0,0.0,0.0,0.478,0.574,0.574,0.0,0.129,0.234,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0665,0,0
1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.344,0.526,0.526,0.0,0.0,0.201,0,0
1.0,0.248,0.248,0.0,0.0,0.0,0.0,0.457,0.631,0.631,0.0,0.0,0.249,0,0
1.0,0.369,0.369,0.0,0.0,0.0,0.0,0.421,0.726,0.726,0.0,0.0,0.329,0,0
0.75,0.269,0.269,0.0,0.0,0.0,0.0,0.29,0.64,0.64,0.0,0.0,0.0978,0,0
0.5,0.156,0.156,0.0,0.0,0.0,0.0,0.277,0.554,0.554,0.0,0.0,0.0468,0,0
0.5,0.151,0.151,0.0,0.0,0.0,0.0,0.281,0.559,0.559,0.0,0.0,0.0936,0,0
0.5,0.148,0.148,0.0,0.0,0.0,0.0,0.277,0.564,0.564,0.0,0.0,0.14,0,0
0.25,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.421,0,0
0.25,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.187,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.14,0,0
0.25,0.162,0.162,0.0,0.0,0.0,0.0,0.33,0.578,0.578,0.0,0.0,0.0468,0,0
0.25,0.193,0.193,0.0,0.0,0.0,0.0,0.379,0.597,0.597,0.0,0.0,0.0936,0,0
0.25,0.243,0.243,0.0,0.0,0.0,0.0,0.414,0.602,0.602,0.0,0.0,0.0,0,0
0.25,0.285,0.285,0.0,0.0,0.0,0.0,0.428,0.587,0.587,0.0,0.0,0.0,0,0
0.25,0.28,0.28,0.0,0.0,0.0,0.0,0.441,0.573,0.573,0.0,0.0,0.14,0,0
0.75,0.606,0.606,0.0,0.167,0.0,0.0,0.788,0.754,0.754,0.136,0.0,0.515,0,0
0.75,0.374,0.374,0.0,1.0,0.0,0.0,0.683,0.683,0.683,0.751,0.0,0.359,0,0
0.75,0.0992,0.0992,0.0,0.717,0.0,0.0,0.368,0.521,0.521,0.0,0.0,0.0468,0,0
1.0,0.0679,0.0679,0.0,0.0,0.0,0.0,0.333,0.517,0.517,0.0,0.0,0.0,0,0
1.0,0.0555,0.0555,0.0,0.0,0.0,0.0,0.323,0.507,0.507,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0468,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0508,0.0508,0.0,0.0,0.0,0.0,0.309,0.502,0.502,0.0,0.0,0.0,0,0
1.0,0.0747,0.0747,0.0,0.0,0.0,0.0,0.319,0.507,0.507,0.0,0.0,0.281,0,0
1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.344,0.526,0.526,0.0,0.0,0.0,0,0
1.0,0.149,0.149,0.0,0.0,0.0,0.0,0.358,0.55,0.55,0.0,0.0,0.0,0,0
1.0,0.156,0.156,0.0,0.0,0.0,0.0,0.312,0.554,0.554,0.0,0.0,0.14,0,0
0.75,0.269,0.269,0.0,0.0,0.0,0.0,0.29,0.64,0.64,0.0,0.0,0.0936,0,0
0.75,0.369,0.369,0.0,0.0,0.0,0.0,0.316,0.726,0.726,0.0,0.0,0.372,0,0
0.5,0.253,0.253,0.0,0.0,0.0,0.0,0.304,0.649,0.649,0.0,0.0,0.236,0,0
0.25,0.148,0.148,0.0,0.0,0.0,0.0,0.277,0.564,0.564,0.0,0.0,0.247,0,0
0.25,0.147,0.147,0.0,0.0,0.0,0.0,0.291,0.564,0.564,0.0,0.0,0.126,0,0
0.5,0.245,0.245,0.0,0.0,0.0,0.0,0.346,0.649,0.649,0.0,0.0,0.131,0,0
0.25,0.15,0.15,0.0,0.0,0.0,0.0,0.305,0.568,0.568,0.0,0.0,0.375,0,0
0.25,0.162,0.162,0.0,0.0,0.0,0.0,0.33,0.578,0.578,0.0,0.0,0.0468,0,0
0.5,0.336,0.336,0.0,0.0,0.0,0.0,0.499,0.725,0.725,0.0,0.0,0.0936,0,0
0.5,0.437,0.437,0.233,0.0,0.0,0.0,0.569,0.734,0.734,0.0,0.0,0.33,0,0
0.5,0.52,0.52,0.8,0.0,0.0,0.0,0.597,0.706,0.706,0.0,0.0,0.123,0,0
0.75,0.743,0.743,0.0,0.0,0.0,0.0,0.809,0.782,0.782,0.0,0.0,0.0,0,0
0.75,0.606,0.606,0.0,0.0,0.0,0.0,0.788,0.754,0.754,0.0,0.0,0.14,0,0
0.5,0.158,0.158,0.0,0.0,0.0,0.0,0.4,0.54,0.54,0.0,0.0,0.328,0,0
0.75,0.0992,0.0992,0.0,0.0,0.0,0.0,0.368,0.521,0.521,0.0,0.0,0.0,0,0
1.0,0.0864,0.0864,0.0,0.0,0.0,0.0,0.409,0.565,0.565,0.0,0.0,0.0,0,0
1.0,0.0555,0.0555,0.0,0.0,0.0,0.0,0.323,0.507,0.507,0.0,0.0,0.14,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.323,0.502,0.502,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.319,0.498,0.498,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.469,0.469,0.0,0.0,0.347,0,0
1.0,0.348,0.348,0.0,0.0,0.0,0.0,0.557,0.712,0.712,0.0,0.0,0.434,0,0
