occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0655
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0741,0.0741,0,0,0,0,0.319,0.504,0.504,0,0,0.0134
0.75,0.124,0.124,0,0,0,0,0.344,0.522,0.522,0,0,0.0953
0.75,0.246,0.246,0,0,0,0,0.457,0.626,0.626,0,0,0.376
0.5,0.155,0.155,0,0,0,0,0.312,0.55,0.55,0,0,0.198
0.5,0.158,0.158,0,0,0,0,0.274,0.55,0.55,0,0,0.0655
0.5,0.26,0.26,0,0,0,0,0.297,0.635,0.635,0,0,0.0982
0.5,0.251,0.251,0,0.533,0,0,0.304,0.645,0.645,0.137,0,0.0655
0.5,0.245,0.245,0,0.267,0,0,0.297,0.654,0.654,0.83,0,0.164
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0.519,0,0.229
0.5,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0.571,0,0.0982
0.5,0.258,0.258,0,0,0,0,0.353,0.664,0.664,0,0,0.0327
0.75,0.424,0.424,0,0,0,0,0.473,0.791,0.791,0,0,0.0327
0.5,0.385,0.385,0.25,0.0333,0,0,0.499,0.72,0.72,0,0,0.13
0.5,0.485,0.485,0,1,0,0,0.569,0.729,0.729,0.698,0,0.0327
0.75,0.762,0.762,0.75,0.317,0,0,0.767,0.819,0.819,0.127,0,0.262
1,0.673,0.673,0.0167,0,0,0,0.809,0.777,0.777,0,0,0.229
1,0.518,0.518,0,0,0,0,0.788,0.749,0.749,0,0,0.0655
1,0.314,0.314,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.0984,0.0984,0,0,0,0,0.368,0.518,0.518,0,0,0.0982
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0327
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.2,0.2,0.5,0,0,0,0.43,0.579,0.579,0,0,0.0896
0.75,0.148,0.148,0.0167,0,0,0,0.358,0.546,0.546,0,0,0.393
0.75,0.26,0.26,0.5,0,0,0,0.367,0.635,0.635,0,0,0.0881
0.75,0.376,0.376,0.533,0.0333,0.933,0,0.306,0.72,0.72,0,0.0964,0.0799
0.75,0.366,0.366,0,1,1,0,0.316,0.72,0.72,0.642,0.366,0.444
0.75,0.352,0.352,0.25,0.0333,1,0,0.327,0.735,0.735,0,0.419,0.304
0.75,0.342,0.342,0,0,0.683,0,0.316,0.749,0.749,0,0.674,0.321
0.5,0.243,0.243,0,0,0,0.65,0.325,0.654,0.654,0,0.394,0.158
0.5,0.245,0.245,0,0,0,1,0.346,0.645,0.645,0,0.37,0.131
0.5,0.258,0.258,0,0,0,0.8,0.353,0.664,0.664,0,0.418,0.0327
0.5,0.299,0.299,0.25,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.385,0.385,0,0.0333,0,0,0.499,0.72,0.72,0,0,0.0327
0.5,0.485,0.485,0,1,0,0,0.569,0.729,0.729,0.582,0,0.131
0.75,0.762,0.762,0.25,0.0333,0,0,0.767,0.819,0.819,0.608,0,0.44
1,0.88,0.88,0,0,0,0,0.993,0.88,0.88,0.148,0,0.204
1,0.361,0.361,0,0,0,0,0.611,0.654,0.654,0,0,0.0982
0.75,0.181,0.181,0,0,0,0,0.4,0.536,0.536,0,0,0.0982
0.75,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0655
0.75,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0655
0.75,0.049,0.049,0,0,0,0,0.319,0.494,0.494,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0548
1,0.124,0.124,0,0,0,0,0.344,0.522,0.522,0,0,0.0132
0.75,0.345,0.345,0,0,0,0,0.557,0.706,0.706,0,0,0.398
0.75,0.366,0.366,0,0,0,0,0.421,0.72,0.72,0,0,0.246
0.5,0.267,0.267,0,0.283,0,0,0.29,0.635,0.635,0,0,0.209
0.5,0.26,0.26,0,0.25,0,0,0.297,0.635,0.635,0.87,0,0
0.25,0.15,0.15,0,0,0,0,0.281,0.555,0.555,0.143,0,0.0327
0.5,0.147,0.147,0,0,0,0,0.277,0.56,0.56,0,0,0
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0,0,0.0327
0.5,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0,0,0
0.5,0.258,0.258,0.5,0,0,0,0.353,0.664,0.664,0,0,0.0327
0.5,0.299,0.299,0.0167,0,0,0,0.402,0.682,0.682,0,0,0.0655
0.5,0.385,0.385,0,0,0,0,0.499,0.72,0.72,0,0,0.0982
0.75,0.704,0.704,0,0,0,0,0.725,0.861,0.861,0,0,0.196
0.75,0.524,0.524,0,0,0,0,0.597,0.701,0.701,0,0,0.295
0.75,0.465,0.465,0,0,0,0,0.625,0.673,0.673,0,0,0.0327
1,0.518,0.518,0,0,0,0,0.788,0.749,0.749,0,0,0.227
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0655
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.131
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0327
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0.933,0,0.258,0.465,0.465,0,0.0964,0.0831
1,0.2,0.2,0,0,0.267,0.0667,0.43,0.579,0.579,0,0,0.232
1,0.444,0.444,0.25,0,0,1,0.657,0.787,0.787,0,0,0.225
1,0.472,0.472,0.267,0,0,0.283,0.475,0.806,0.806,0,0.44,0.34
1,0.485,0.485,0,0,0,0,0.322,0.806,0.806,0,0.753,0.356
0.75,0.366,0.366,0,0,0,0,0.316,0.72,0.72,0,0.732,0.569
0.75,0.352,0.352,0,0,0,0,0.327,0.735,0.735,0,0.302,0.129
0.5,0.245,0.245,0,0,0,0,0.297,0.654,0.654,0,0.176,0.0327
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0,0,0.0982
0.5,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0,0,0
0.75,0.362,0.362,0.25,0,0,0,0.4,0.763,0.763,0,0,0
0.75,0.424,0.424,0,0,0,0,0.473,0.791,0.791,0,0,0
0.75,0.385,0.385,0,0,0,0,0.499,0.72,0.72,0,0,0
0.75,0.267,0.267,0,0,0,0,0.414,0.597,0.597,0,0,0.131
0.75,0.287,0.287,0,0,0,0,0.428,0.583,0.583,0,0,0
1,0.465,0.465,0,0,0,0,0.625,0.673,0.673,0,0,0.0655
1,0.361,0.361,0,0,0,0,0.611,0.654,0.654,0,0,0.0327
1,0.314,0.314,0,0,0,0,0.541,0.607,0.607,0,0,0.154
1,0.0984,0.0984,0,0,0,0,0.368,0.518,0.518,0,0,0.155
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.262
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0655
1,0.049,0.049,0,0,0,0,0.323,0.499,0.499,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.148,0.148,0.25,0,0,0,0.358,0.546,0.546,0,0,0
0.5,0.049,0.049,0.267,0,0,0,0.258,0.465,0.465,0,0,0.145
0.75,0.267,0.267,0,0,0.933,0,0.29,0.635,0.635,0,0.0489,0.123
0.5,0.26,0.26,0,0,0.0333,0.3,0.297,0.635,0.635,0,0.464,0
0.5,0.251,0.251,0,0,0,0.783,0.304,0.645,0.645,0,0.577,0.164
0.5,0.245,0.245,0,0,0,0,0.297,0.654,0.654,0,0.46,0.0327
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0,0.629,0.164
