occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.123,0.123,0,0.267,0,0,0.559,0.656,0.656,0.228,0,0
1,0.0617,0.0617,0,0,0,0,0.388,0.542,0.542,0,0,0
1,0.0493,0.0493,0,0,0,0,0.388,0.532,0.532,0,0,0.0802
1,0.0493,0.0493,0,0,0,0,0.381,0.523,0.523,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0401
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0802
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0802
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.269,0.269,0,0,0,0,0.29,0.635,0.635,0,0,0.111
1,0.475,0.475,0,0,0,0,0.336,0.806,0.806,0,0,0
1,0.457,0.457,0,0,0,0,0.35,0.824,0.824,0,0,0
1,0.246,0.246,0,0,0,0,0.297,0.654,0.654,0,0,0
1,0.244,0.244,0.517,0,0,0,0.325,0.654,0.654,0,0,0
1,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0,0,0.281
0.5,0.252,0.252,0,0,0,0,0.353,0.664,0.664,0,0,0.0802
0.5,0.28,0.28,0.283,0,0,0,0.402,0.682,0.682,0,0,0.0802
1,0.647,0.647,0.233,0,0,0,0.741,0.974,0.974,0,0,0.241
1,0.854,0.854,0,0,0,0,0.881,0.993,0.993,0,0,0.12
1,1,1,0,0.533,0,0,0.937,0.937,0.937,0.599,0,0.0401
1,0.954,0.954,0,0,0,0,0.993,0.88,0.88,0,0,0.201
1,0.76,0.76,0,0,0,0,0.965,0.843,0.843,0,0,0.361
1,0.355,0.355,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.149,0.149,0,0,0,0,0.478,0.57,0.57,0,0,0.0401
1,0.0863,0.0863,0,0,0,0,0.409,0.56,0.56,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.201,0.201,0,0,0,0,0.43,0.579,0.579,0,0,0
1,0.248,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0
1,0.262,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0.237
1,0.488,0.488,0,0,0,0,0.322,0.806,0.806,0,0,0.246
1,0.475,0.475,0,0,0,0,0.336,0.806,0.806,0,0,0.193
1,0.457,0.457,0,0,0,0,0.35,0.824,0.824,0,0,0
1,0.443,0.443,0,0.233,0,0,0.336,0.843,0.843,0.134,0,0.281
1,0.439,0.439,0.0333,0.3,0,0,0.392,0.843,0.843,0.942,0,0
1,0.441,0.441,1,0,0,0,0.433,0.824,0.824,0.144,0,0
1,0.456,0.456,0,0,0,0,0.447,0.862,0.862,0,0,0.16
1,0.51,0.51,0,0,0,0,0.545,0.899,0.899,0,0,0.361
1,0.647,0.647,0,0,0,0,0.741,0.974,0.974,0,0,0.12
1,0.854,0.854,0,0,0,0,0.881,0.993,0.993,0,0,0
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0,0.361
0.5,0.502,0.502,0,0.233,0,0,0.625,0.673,0.673,0.0877,0,0
1,0.76,0.76,0,0.0333,0,0,0.965,0.843,0.843,0.59,0,0
0.5,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.44
1,0.149,0.149,0,0,0,0,0.478,0.57,0.57,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0521,0.0521,0,0,0,0,0.36,0.532,0.532,0,0,0
1,0.0999,0.0999,0,0,0,0,0.381,0.542,0.542,0,0,0
1,0.201,0.201,0,0,0,0,0.43,0.579,0.579,0,0,0
1,0.248,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0
1,0.262,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0.127
1,0.488,0.488,0,0,0,0,0.322,0.806,0.806,0,0,0.201
0.5,0.262,0.262,0,0,0,0,0.297,0.635,0.635,0,0,0
1,0.457,0.457,0,0,0,0,0.35,0.824,0.824,0,0,0.0802
1,0.443,0.443,0,0,0,0,0.336,0.843,0.843,0,0,0.0802
1,0.439,0.439,0,0,0.233,0,0.392,0.843,0.843,0,0,0.0802
1,0.441,0.441,0,0,0,0.317,0.433,0.824,0.824,0,0.24,0.12
1,0.456,0.456,0,0.267,0,0.767,0.447,0.862,0.862,0.624,0.0939,0
1,0.51,0.51,0,0,0,0,0.545,0.899,0.899,0.355,0,0.0401
1,0.647,0.647,0,0,0,0,0.741,0.974,0.974,0,0,0
1,0.854,0.854,0,0,0,0,0.881,0.993,0.993,0,0,0
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0,0.281
1,0.954,0.954,0,0,0,0,0.993,0.88,0.88,0,0,0
1,0.76,0.76,0,0,0,0,0.965,0.843,0.843,0,0,0.0911
1,0.355,0.355,0,0,0.483,0,0.541,0.607,0.607,0,0,0.0623
1,0.149,0.149,0,0,0.233,0,0.478,0.57,0.57,0,0.301,0
1,0.0863,0.0863,0,0,0,0.817,0.409,0.56,0.56,0,0.572,0
1,0.0617,0.0617,0,0,0,0,0.388,0.542,0.542,0,0.201,0
1,0.0493,0.0493,0,0,0,0,0.388,0.532,0.532,0,0.845,0
1,0.0493,0.0493,0,0,0,0,0.381,0.523,0.523,0,0.73,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0.265,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.12
1,0.447,0.447,0,0,0.483,0,0.657,0.787,0.787,0,0,0
1,0.475,0.475,0,0,0,0.317,0.475,0.806,0.806,0,0.77,0
1,0.488,0.488,0,0,0,0.217,0.322,0.806,0.806,0,0.531,0
1,0.475,0.475,0,0,0,0,0.336,0.806,0.806,0,0.452,0
1,0.457,0.457,0,0,0,0,0.35,0.824,0.824,0,0.568,0.12
1,0.443,0.443,0,0,0,0,0.336,0.843,0.843,0,0.385,0.0401
1,0.439,0.439,0,0,0,0,0.392,0.843,0.843,0,0.579,0.0401
1,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0,0.683,0.0401
1,0.456,0.456,0.25,0,0,0,0.447,0.862,0.862,0,0.738,0.16
1,0.51,0.51,0,0,0,0,0.545,0.899,0.899,0,0.561,0.441
1,0.647,0.647,0,0,0,0,0.741,0.974,0.974,0,0.416,0.0401
1,0.854,0.854,0,0,0,0,0.881,0.993,0.993,0,0.588,0.0802
1,0.525,0.525,0,0,0,0,0.597,0.701,0.701,0,0.301,0.0401
1,0.502,0.502,0,0,0,0,0.625,0.673,0.673,0,0.283,0
1,0.76,0.76,0,0,0,0,0.965,0.843,0.843,0,0.235,0.201
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0401
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.106
1,0.248,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0.581
1,0.262,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0.113
1,0.269,0.269,0,0,0,0,0.29,0.635,0.635,0,0,0.12
1,0.475,0.475,0,0,0,0,0.336,0.806,0.806,0,0,0.192
1,0.457,0.457,0,0,0,0,0.35,0.824,0.824,0,0,0.16
1,0.443,0.443,0,0,0,0,0.336,0.843,0.843,0,0,0.0401
0.5,0.244,0.244,0,0,0,0,0.325,0.654,0.654,0,0,0
0.5,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0,0,0
1,0.456,0.456,0,0,0,0,0.447,0.862,0.862,0,0,0
0.5,0.28,0.28,0,0,0,0,0.402,0.682,0.682,0,0,0.281
0.5,0.348,0.348,0,0,0,0,0.499,0.72,0.72,0,0,0.0802
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0802
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.16
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.16
0.5,0.405,0.405,0,0,0,0,0.611,0.654,0.654,0,0,0.0802
0.5,0.355,0.355,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.149,0.149,0,0,0,0,0.478,0.57,0.57,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.12
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.262,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0.422
1,0.488,0.488,0,0,0,0,0.322,0.806,0.806,0,0,0.107
1,0.475,0.475,0,0,0,0,0.336,0.806,0.806,0,0,0.314
0.5,0.253,0.253,0,0,0,0,0.304,0.645,0.645,0,0,0.271
0.5,0.246,0.246,0,0,0,0,0.297,0.654,0.654,0,0,0.288
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.12
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0802
0.5,0.252,0.252,0,0,0,0,0.353,0.664,0.664,0,0,0.0401
0.5,0.28,0.28,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.348,0.348,0.783,0,0,0,0.499,0.72,0.72,0,0,0
1,0.854,0.854,1,0,0,0,0.881,0.993,0.993,0,0,0.281
1,1,1,0.283,0,0,0,0.937,0.937,0.937,0,0,0.0802
1,0.954,0.954,0,0,0,0,0.993,0.88,0.88,0,0,0.321
1,0.76,0.76,0,0,0,0,0.965,0.843,0.843,0,0,0.0401
1,0.355,0.355,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0937
1,0.248,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0.181
1,0.262,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0.141
1,0.488,0.488,0,0,0,0,0.322,0.806,0.806,0,0,0.0872
0.5,0.262,0.262,0,0,0,0,0.297,0.635,0.635,0,0,0.307
0.5,0.253,0.253,0,0,0,0,0.304,0.645,0.645,0,0,0.201
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.12
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.361
0,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.227
0.5,0.252,0.252,0,0,0,0,0.353,0.664,0.664,0,0,0.317
0.5,0.28,0.28,0,0,0,0,0.402,0.682,0.682,0,0,0.0617
0.5,0.348,0.348,0,0,0,0,0.499,0.72,0.72,0,0,0.19
1,0.854,0.854,0,0,0,0,0.881,0.993,0.993,0,0,0.317
0.5,0.525,0.525,0,0,0,0,0.597,0.701,0.701,0,0,0.144
0.5,0.502,0.502,0.0333,0,0,0,0.625,0.673,0.673,0,0,0.241
1,0.76,0.76,1,0,0,0,0.965,0.843,0.843,0,0,0
1,0.355,0.355,0.517,0,0,0,0.541,0.607,0.607,0,0,0.0401
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.12
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.284
1,0.0493,0.0493,0,0,0,0,0.381,0.523,0.523,0,0,0.197
0.5,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.0493,0.0493,0,0,0.483,0,0.258,0.465,0.465,0,0,0.0802
1,0.248,0.248,0,0,0,0.0667,0.457,0.626,0.626,0,0.3,0.0401
1,0.475,0.475,0.767,0,0,1,0.475,0.806,0.806,0,0.371,0
1,0.488,0.488,0,0,0,0.0167,0.322,0.806,0.806,0,0.413,0
1,0.475,0.475,0,0,0,0,0.336,0.806,0.806,0,0.571,0
1,0.457,0.457,0,0,0,0,0.35,0.824,0.824,0,0.562,0.12
1,0.443,0.443,0,0,0,0,0.336,0.843,0.843,0,0.606,0
1,0.244,0.244,0,0,0,0,0.325,0.654,0.654,0,0.369,0.0401
1,0.245,0.245,0,0,0,0,0.346,0.645,0.645,0,0.548,0.0802
1,0.252,0.252,0,0,0,0,0.353,0.664,0.664,0,0.599,0.12
1,0.51,0.51,0.783,0,0,0,0.545,0.899,0.899,0,0.477,0
1,0.647,0.647,0.5,0,0,0,0.741,0.974,0.974,0,0.508,0.0802
1,0.854,0.854,0,0,0,0,0.881,0.993,0.993,0,0.259,0
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0.377,0
1,0.954,0.954,0,0.483,0,0,0.993,0.88,0.88,0.394,0.841,0.16
1,0.76,0.76,0,0.867,0,0,0.965,0.843,0.843,0.519,0.0477,0
1,0.66,0.66,0,0,0,0,0.825,0.749,0.749,0,0,0
1,0.149,0.149,0,0,0,0,0.478,0.57,0.57,0,0,0.0401
1,0.0863,0.0863,0.783,0,0,0,0.409,0.56,0.56,0,0,0
1,0.0493,0.0493,0.5,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.423
1,0.201,0.201,0.25,0,0,0,0.43,0.579,0.579,0,0,0.0335
1,0.248,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0
1,0.262,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0
1,0.269,0.269,0,0,0,0,0.29,0.635,0.635,0,0,0.21
1,0.475,0.475,0,0,0.233,0,0.336,0.806,0.806,0,0.103,0.0401
1,0.457,0.457,0,0,0,0.817,0.35,0.824,0.824,0,0.626,0.0401
1,0.443,0.443,0.783,0,0,1,0.336,0.843,0.843,0,0.475,0
1,0.439,0.439,1,0,0,0.9,0.392,0.843,0.843,0,0.654,0
1,0.441,0.441,1,0,0,0,0.433,0.824,0.824,0,0,0.0401
1,0.456,0.456,1,0,0,0,0.447,0.862,0.862,0,0,0
1,0.51,0.51,1,0,0,0,0.545,0.899,0.899,0,0,0
1,0.647,0.647,1,0,0,0,0.741,0.974,0.974,0,0,0.16
1,0.854,0.854,0.95,0,0,0,0.881,0.993,0.993,0,0,0.0401
1,1,1,0,0,0.233,0,0.937,0.937,0.937,0,0,0.201
1,0.954,0.954,0,0.483,0,0.317,0.993,0.88,0.88,0.235,0.0939,0
1,0.76,0.76,0,0.583,0,0.5,0.965,0.843,0.843,0.82,0,0.201
1,0.355,0.355,0,0,0,0,0.541,0.607,0.607,0.0625,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0401
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
