occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.158,0,0
0.5,0.201,0.201,0.0,0.0,0.0,0.0,0.43,0.579,0.579,0.0,0.0,0.284,0,0
0.5,0.248,0.248,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0881,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.308,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.5,0.278,0.278,0.25,0.0,0.0,0.0,0.402,0.682,0.682,0.0,0.0,0.0,0,0
1.0,0.639,0.639,0.267,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.845,0.845,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0,0,0
1.0,0.997,0.997,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.132,0,0
1.0,0.961,0.961,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.0,0,0
1.0,0.77,0.77,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.044,0,0
1.0,0.36,0.36,0.0,0.0,0.0,0.0,0.541,0.607,0.607,0.0,0.0,0.44,0,0
1.0,0.149,0.149,0.0,0.0,0.0,0.0,0.478,0.57,0.57,0.0,0.0,0.044,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.044,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0999,0.0999,0.0,0.0,0.0,0.0,0.381,0.542,0.542,0.0,0.0,0.351,0,0
1.0,0.353,0.353,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.287,0,0
0.5,0.248,0.248,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.132,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.176,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.044,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.5,0.252,0.252,0.0,0.0,0.0,0.0,0.353,0.664,0.664,0.0,0.0,0.0,0,0
0.5,0.278,0.278,0.25,0.0,0.0,0.0,0.402,0.682,0.682,0.0,0.0,0.0,0,0
1.0,0.639,0.639,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.845,0.845,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.308,0,0
1.0,0.997,0.997,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.264,0,0
1.0,0.961,0.961,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.216,0,0
1.0,0.77,0.77,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.17,0,0
1.0,0.671,0.671,0.0,0.0,0.0,0.0,0.825,0.749,0.749,0.0,0.0,0.0881,0,0
1.0,0.149,0.149,0.0,0.0,0.0,0.0,0.478,0.57,0.57,0.0,0.0,0.308,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0521,0.0521,0.0,0.0,0.0,0.0,0.36,0.532,0.532,0.0,0.0,0.0,0,0
0.5,0.0999,0.0999,0.0,0.0,0.0,0.0,0.381,0.542,0.542,0.0,0.0,0.169,0,0
0.5,0.201,0.201,0.0,0.0,0.0,0.0,0.43,0.579,0.579,0.0,0.0,0.0,0,0
0.5,0.248,0.248,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.0881,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.484,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.352,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.176,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.297,0.654,0.654,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.5,0.05,0.258,0.465,0.465,0.0,0.261,0.0,0,0
0.5,0.278,0.278,0.0,0.0,0.467,1.0,0.402,0.682,0.682,0.0,0.423,0.434,0,0
0.5,0.344,0.344,0.0,0.0,0.0,0.0333,0.499,0.72,0.72,0.0,0.338,0.0423,0,0
1.0,0.845,0.845,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0,0,0
1.0,0.997,0.997,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.479,0,0
1.0,0.961,0.961,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.22,0,0
1.0,0.41,0.41,0.0,0.0,0.0,0.0,0.611,0.654,0.654,0.0,0.0,0.044,0,0
1.0,0.36,0.36,0.0,0.0,0.0,0.0,0.541,0.607,0.607,0.0,0.0,0.0881,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.262,0.262,0.0,0.0,0.0,0.0,0.367,0.635,0.635,0.0,0.0,0.0,0,0
0.5,0.0493,0.0493,0.2,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.475,0.475,0.567,0.0,0.0,0.0,0.336,0.806,0.806,0.0,0.0,0.0,0,0
0.5,0.253,0.253,0.0,0.0,0.0,0.0,0.304,0.645,0.645,0.0,0.0,0.0,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.297,0.654,0.654,0.0,0.0,0.044,0,0
1.0,0.244,0.244,0.0,0.0,0.0,0.0,0.325,0.654,0.654,0.0,0.0,0.0,0,0
1.0,0.245,0.245,0.0,0.0,0.0,0.0,0.346,0.645,0.645,0.0,0.0,0.044,0,0
1.0,0.252,0.252,0.0,0.0,0.0,0.0,0.353,0.664,0.664,0.0,0.0,0.0881,0,0
1.0,0.278,0.278,0.0,0.0,0.0,0.0,0.402,0.682,0.682,0.0,0.0,0.0,0,0
1.0,0.344,0.344,0.0,0.653,0.0,0.0,0.499,0.72,0.72,0.646,0.0,0.352,0,0
1.0,0.845,0.845,0.25,0.0,0.0,0.0,0.881,0.993,0.993,0.193,0.0,0.044,0,0
1.0,0.997,0.997,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.176,0,0
1.0,0.961,0.961,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.044,0,0
1.0,0.77,0.77,0.0,0.306,0.0,0.0,0.965,0.843,0.843,0.232,0.0,0.22,0,0
1.0,0.671,0.671,0.0,0.673,0.0,0.0,0.825,0.749,0.749,0.721,0.0,0.0,0,0
1.0,0.248,0.248,0.0,0.0,0.0,0.0,0.699,0.674,0.674,0.467,0.0,0.0879,0,0
1.0,0.0863,0.0863,0.0,0.0,0.0,0.0,0.409,0.56,0.56,0.0,0.0,0.303,0,0
1.0,0.0617,0.0617,0.0,0.0,0.0,0.0,0.388,0.542,0.542,0.0,0.0,0.217,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
