occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.667,0.0737,0.0737,0,0,0,0,0.358,0.529,0.529,0,0,0.197
0.667,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
0.667,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.34,0.504,0.504,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.38
0.667,0.0491,0.0491,0,0.5,0,0,0.258,0.465,0.465,0.552,0,0.421
1,0.473,0.473,0,0.3,0,0,0.475,0.806,0.806,0.724,0,0.0803
1,0.486,0.486,0,0,0,0,0.322,0.806,0.806,0.715,0,0.264
1,0.473,0.473,0,0,0,0,0.336,0.806,0.806,0.625,0,0.201
1,0.455,0.455,0,0,0,0,0.35,0.824,0.824,0.474,0,0.104
1,0.442,0.442,0,0,0,0,0.336,0.843,0.843,0.781,0,0.101
1,0.438,0.438,0,0,0,0,0.392,0.843,0.843,0.815,0,0.0422
1,0.311,0.311,0,0,0,0,0.375,0.705,0.705,0,0,0.211
1,0.331,0.331,0,0,0,0,0.384,0.73,0.73,0,0,0.169
1,0.391,0.391,0,0.5,0,0,0.449,0.755,0.755,0.492,0,0.0845
1,0.74,0.74,0,1,0,0,0.741,0.974,0.974,0.66,0,0.258
1,0.938,0.938,0,0.383,0,0,0.881,0.993,0.993,0.513,0,0.394
1,0.683,0.683,0,0,0,0,0.711,0.78,0.78,0.557,0,0.332
1,0.594,0.594,0,0,0,0,0.748,0.742,0.742,0,0,0.117
1,0.456,0.456,0,0,0,0,0.729,0.717,0.717,0,0,0.154
1,0.222,0.222,0,0,0,0,0.447,0.56,0.56,0,0,0.253
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.0422
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.296
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.209
1,0.251,0.251,0,0,0,0,0.487,0.617,0.617,0,0,0
0.667,0.181,0.181,0,0,0,0,0.391,0.572,0.572,0,0,0
1,0.473,0.473,0,0,0,0,0.475,0.806,0.806,0,0,0
1,0.486,0.486,0,0,0,0,0.322,0.806,0.806,0,0,0.127
0.667,0.332,0.332,0,0,0,0,0.31,0.692,0.692,0,0,0.0845
1,0.455,0.455,0,0,0,0,0.35,0.824,0.824,0,0,0.0422
1,0.442,0.442,0,0,0,0,0.336,0.843,0.843,0,0,0
1,0.308,0.308,0,0,0,0,0.347,0.717,0.717,0,0,0.169
