original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G1301410,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,82.97533507851554
G1301430,722195,Fulton_Co_Arpt_Brow,44.913795,-88.641293,44.48,-88.13,61.540476555125856
G1301450,722255,Columbus_Metropolitan_Arpt,44.913795,-88.641293,44.48,-88.13,20.665913667483583
G1301470,723125,Anderson_County_Ap,44.913795,-88.641293,44.48,-88.13,27.63526454891793
G1301490,722195,Fulton_Co_Arpt_Brow,44.913795,-88.641293,44.48,-88.13,75.18014229081125
G1301510,722190,Atlanta_Hartsfield_Intl_Ap,44.913795,-88.641293,44.48,-88.13,29.170692054200792
G1301530,722175,Warner_Robins_Afb,44.913795,-88.641293,44.48,-88.13,8.79987288700297
G1301550,722160,Albany_Dougherty_County_Ap,44.913795,-88.641293,44.48,-88.13,85.6178610077741
G1301570,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,31.010154996165543
G1301590,722170,Macon_Middle_Ga_Regional_Ap,44.913795,-88.641293,44.48,-88.13,75.53815580531807
G1301610,723160,Alma-Bacon County AP,44.913795,-88.641293,44.48,-88.13,36.39371366992451
G1301630,722180,Augusta_Bush_Field,44.913795,-88.641293,44.48,-88.13,53.108331546612824
G1301650,722180,Augusta_Bush_Field,44.913795,-88.641293,44.48,-88.13,64.02642150448844
G1301670,722175,Warner_Robins_Afb,44.913795,-88.641293,44.48,-88.13,86.55252312085793
G1301690,722170,Macon_Middle_Ga_Regional_Ap,44.913795,-88.641293,44.48,-88.13,32.876809574349124
G1301710,722190,Atlanta_Hartsfield_Intl_Ap,44.913795,-88.641293,44.48,-88.13,66.31672597486487
G1301730,747810,Moody_Afb_Valdosta,44.913795,-88.641293,44.48,-88.13,12.693566912444476
G1301750,722175,Warner_Robins_Afb,44.913795,-88.641293,44.48,-88.13,64.4137467575688
G1301770,722160,Albany_Dougherty_County_Ap,44.913795,-88.641293,44.48,-88.13,16.828915788723812
G1301790,747804,Hunter_Aaf,44.913795,-88.641293,44.48,-88.13,44.7625377072831
G1301810,722180,Augusta_Bush_Field,44.913795,-88.641293,44.48,-88.13,63.56197576773658
G1301830,722136,Brunswick_Golden_Is,44.913795,-88.641293,44.48,-88.13,63.91214989983908
G1301850,722166,Valdosta_Wb_Airport,44.913795,-88.641293,44.48,-88.13,8.565390552987122
