occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.145,0,0
1.0,0.35,0.35,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.518,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.115,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.367,0.635,0.635,0.0,0.0,0.279,0,0
0.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.048,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.297,0.635,0.635,0.0,0.0,0.0,0,0
0.5,0.251,0.251,0.0,0.0,0.0,0.0,0.304,0.645,0.645,0.0,0.0,0.048,0,0
0.5,0.244,0.244,0.0,0.0,0.0,0.0,0.297,0.654,0.654,0.0,0.0,0.0,0,0
0.5,0.242,0.242,0.0,0.0,0.0,0.0,0.325,0.654,0.654,0.0,0.0,0.0959,0,0
0.5,0.244,0.244,0.0,0.0,0.0,0.0,0.346,0.645,0.645,0.0,0.0,0.192,0,0
0.5,0.255,0.255,0.0,0.0,0.0,0.0,0.353,0.664,0.664,0.0,0.0,0.232,0,0
1.0,0.533,0.533,0.0167,0.0,0.0,0.0,0.545,0.899,0.899,0.0,0.0,0.0959,0,0
1.0,0.693,0.693,0.233,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.239,0,0
1.0,0.898,0.898,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.307,0,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0959,0,0
1.0,0.903,0.903,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.144,0,0
1.0,0.698,0.698,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.048,0,0
1.0,0.0489,0.0489,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.048,0,0
