occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.0686
0.8,0.0696,0.0696,0,0,0,0,0.307,0.496,0.496,0,0,0.115
0.8,0.171,0.171,0,0,0,0,0.395,0.556,0.556,0,0,0.325
1,0.368,0.368,0,0,0,0,0.577,0.722,0.722,0,0,0.0622
0.4,0.135,0.135,0,0,0,0,0.301,0.533,0.533,0,0,0.206
0.4,0.225,0.225,0,0,0,0,0.283,0.601,0.601,0,0,0.0685
0.4,0.135,0.135,0,0,0,0,0.273,0.533,0.533,0,0,0.0343
0.4,0.131,0.131,0,0,0,0,0.276,0.537,0.537,0,0,0
0.4,0.128,0.128,0,0,0,0,0.273,0.541,0.541,0,0,0.0343
0.4,0.127,0.127,0,0,0,0,0.284,0.541,0.541,0,0,0.171
0.4,0.128,0.128,0,0,0,0,0.293,0.537,0.537,0,0,0.0343
0.6,0.211,0.211,0,0.0667,0,0,0.334,0.624,0.624,0.316,0,0.24
0.4,0.139,0.139,0,1,0,0,0.315,0.552,0.552,0.558,0,0.308
0.4,0.279,0.279,0.233,1,0,0,0.451,0.669,0.669,0.604,0,0.171
0.8,0.671,0.671,0.0167,0.0833,0,0,0.756,0.887,0.887,0.646,0,0.206
0.8,0.803,0.803,0,0,0,0,0.801,0.842,0.842,0,0,0.206
1,0.972,0.972,0,0,0,0,0.993,0.88,0.88,0,0,0.103
1,0.789,0.789,0,0,0,0,0.965,0.843,0.843,0,0,0.32
1,0.222,0.222,0,0,0,0,0.485,0.579,0.579,0,0,0.0685
1,0.0892,0.0892,0,0,0,0,0.346,0.507,0.507,0,0,0.104
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.103
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.206
1,0.0505,0.0505,0.517,0,0,0,0.298,0.492,0.492,0,0,0
1,0.0494,0.0494,0.733,0,0,0,0.258,0.465,0.465,0,0,0.366
1,0.232,0.232,0.817,0,0,0,0.464,0.602,0.602,0,0,0.209
1,0.368,0.368,0,0,0,0,0.577,0.722,0.722,0,0,0.588
0.6,0.22,0.22,0,0,0.45,0,0.345,0.601,0.601,0,0.15,0.195
0.6,0.313,0.313,0,0,0.75,0.15,0.296,0.669,0.669,0,0.561,0.137
0.2,0.135,0.135,0,0,0,0.933,0.273,0.533,0.533,0,0.469,0.103
0.2,0.131,0.131,0,0,0,0,0.276,0.537,0.537,0,0.469,0.171
0.2,0.128,0.128,0,0,0,0,0.273,0.541,0.541,0,0.533,0.0343
0.2,0.127,0.127,0,0,0,0,0.284,0.541,0.541,0,0.56,0.0343
0.2,0.128,0.128,0,0,0,0,0.293,0.537,0.537,0,0.139,0.0685
0.2,0.13,0.13,0,0,0,0,0.296,0.545,0.545,0,0,0.0343
0.6,0.319,0.319,0.483,0,0,0,0.43,0.726,0.726,0,0,0
0.8,0.509,0.509,1,0,0,0,0.644,0.872,0.872,0,0,0.308
0.8,0.671,0.671,1,0,0,0,0.756,0.887,0.887,0,0,0.171
0.6,0.614,0.614,1,0,0,0,0.665,0.748,0.748,0,0,0.206
0.8,0.788,0.788,1,0.317,0,0,0.846,0.797,0.797,0.284,0,0.103
0.8,0.493,0.493,0.95,1,0,0,0.682,0.692,0.692,0.585,0,0.206
1,0.308,0.308,0,0.3,0,0,0.598,0.636,0.636,0.264,0,0.0343
1,0.0892,0.0892,0,0,0,0,0.346,0.507,0.507,0,0,0.0343
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.6,0.171,0.171,0.25,0,0,0,0.395,0.556,0.556,0,0,0.187
0.6,0.288,0.288,0.233,0,0,0,0.497,0.658,0.658,0,0,0.075
0.4,0.22,0.22,0.0167,0,0,0,0.345,0.601,0.601,0,0,0.0722
0.4,0.225,0.225,0.517,0,0,0,0.283,0.601,0.601,0,0,0.206
0.4,0.22,0.22,0,0,0,0,0.289,0.601,0.601,0,0,0.0343
0.4,0.212,0.212,0,0,0,0,0.294,0.609,0.609,0,0,0.0685
0.2,0.128,0.128,0,0,0,0,0.273,0.541,0.541,0,0,0.0343
0,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.304
0.4,0.206,0.206,0,0,0,0,0.328,0.609,0.609,0,0,0.206
0.2,0.13,0.13,0,0,0,0,0.296,0.545,0.545,0,0,0.526
0.6,0.319,0.319,0,0,0,0,0.43,0.726,0.726,0,0,0.0827
0.6,0.394,0.394,0.983,0,0,0,0.548,0.771,0.771,0,0,0.513
0.6,0.36,0.36,0.567,0,0,0,0.507,0.676,0.676,0,0,0.251
1,0.803,0.803,0,0,0,0,0.801,0.842,0.842,0,0,0.32
1,0.788,0.788,0,0,0,0,0.846,0.797,0.797,0,0,0.568
1,0.641,0.641,0,0,0,0,0.823,0.767,0.767,0,0,0.308
1,0.308,0.308,0,0,0,0,0.598,0.636,0.636,0,0,0.158
1,0.0892,0.0892,0,0,0,0,0.346,0.507,0.507,0,0,0.224
1,0.0642,0.0642,0,0,0,0,0.318,0.503,0.503,0,0,0.184
1,0.0543,0.0543,0,0,0,0,0.31,0.496,0.496,0,0,0.0656
1,0.0494,0.0494,0,0,0,0,0.31,0.492,0.492,0,0,0.136
1,0.0494,0.0494,0,0,0,0,0.307,0.488,0.488,0,0,0.102
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.8,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.341
0.6,0.171,0.171,0.25,0,0,0,0.395,0.556,0.556,0,0,1
0.8,0.368,0.368,0,0,0,0,0.577,0.722,0.722,0,0,0.0598
0.4,0.22,0.22,0,0.317,0,0,0.345,0.601,0.601,0.363,0,0
0.2,0.137,0.137,0,1,0,0,0.27,0.533,0.533,0.721,0,0.103
0.2,0.135,0.135,0,0.3,0,0,0.273,0.533,0.533,0,0,0.0685
0.2,0.131,0.131,0.25,0,0,0,0.276,0.537,0.537,0,0,0.137
0.4,0.207,0.207,0,0,0,0,0.289,0.616,0.616,0,0,0.0343
0.6,0.284,0.284,0,0,0,0,0.338,0.692,0.692,0,0,0.171
0.4,0.206,0.206,0,0,0,0,0.328,0.609,0.609,0,0,0.0343
0.2,0.13,0.13,0.517,0,0,0,0.296,0.545,0.545,0,0,0
0.2,0.139,0.139,0,0,0,0,0.315,0.552,0.552,0,0,0.137
0.6,0.394,0.394,0,0,0,0,0.548,0.771,0.771,0,0,0.142
0.6,0.516,0.516,0,0,0,0,0.632,0.782,0.782,0,0,0.54
0.4,0.426,0.426,0,0,0,0,0.529,0.654,0.654,0,0,0
0.8,0.788,0.788,0,0,0.45,0,0.846,0.797,0.797,0,0.0195,0.0685
1,0.789,0.789,0,0,0.75,0.15,0.965,0.843,0.843,0,0.565,0.137
1,0.308,0.308,0,0,0,0.667,0.598,0.636,0.636,0,0.762,0.103
1,0.129,0.129,0,0,0,0,0.434,0.549,0.549,0,0.162,0.0343
1,0.0642,0.0642,0,0,0,0,0.318,0.503,0.503,0,0,0
1,0.0543,0.0543,0,0,0,0,0.31,0.496,0.496,0,0,0
1,0.0494,0.0494,0,0,0,0,0.31,0.492,0.492,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.252
1,0.293,0.293,0,0,0,0,0.533,0.648,0.648,0,0,0.38
